Campaign,Ad group,Keyword,Criterion type,Status,Max CPC
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"клининг варшава",Exact,Enabled,15
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"уборка варшава",Exact,Enabled,14
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"уборка перед рождеством варшава",Exact,Enabled,18
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"уборка к новому году варшава",Exact,Enabled,20
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"генеральная уборка перед праздниками",Phrase,Enabled,16
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"уборка после новогодней вечеринки",Phrase,Enabled,17
BrightWaw | Клининг Варшава RU | Праздники 2025,Праздничная уборка,"уборка квартиры к рождеству",Phrase,Enabled,19
BrightWaw | Клининг Варшава RU | Праздники 2025,Генеральная уборка,"генеральная уборка варшава",Exact,Enabled,15
BrightWaw | Клининг Варшава RU | Праздники 2025,Генеральная уборка,"генеральная уборка квартиры варшава",Phrase,Enabled,14
BrightWaw | Клининг Варшава RU | Праздники 2025,Уборка после ремонта,"уборка после ремонта варшава",Exact,Enabled,18
BrightWaw | Клининг Варшава RU | Праздники 2025,Уборка после ремонта,"уборка после стройки варшава",Phrase,Enabled,17
BrightWaw | Клининг Варшава RU | Праздники 2025,Мытье окон,"мытье окон варшава",Exact,Enabled,14
BrightWaw | Клининг Варшава RU | Праздники 2025,Мытье окон,"мойка окон варшава",Exact,Enabled,13
BrightWaw | Клининг Варшава RU | Праздники 2025,Уборка квартир стандарт,"уборка квартир варшава",Exact,Enabled,13
BrightWaw | Клининг Варшава RU | Праздники 2025,Уборка квартир стандарт,"уборка квартиры варшава",Phrase,Enabled,12
BrightWaw | Клининг Варшава RU | Праздники 2025,Уборка офисов и коммерции,"уборка офиса варшава",Exact,Enabled,11
BrightWaw | Клининг Варшава RU | Праздники 2025,Уборка офисов и коммерции,"клининг офиса варшава",Phrase,Enabled,10